lat,lon,alt,date,device,os,version
37.7055919,-122.3915139,0,2013-04-28 03:57:25,"Samsung d2att",4.2.2,1.0
37.7123782,-122.3859896,0,2013-04-28 03:58:24,"Samsung d2att",4.2.2,1.0
37.7123894,-122.3870046,0,2013-04-28 04:03:24,"Samsung d2att",4.2.2,1.0
37.7133848,-122.3869996,0,2013-04-28 04:04:26,"Samsung d2att",4.2.2,1.0
37.7151824,-122.3865377,0,2013-04-28 04:06:24,"Samsung d2att",4.2.2,1.0
37.7162422,-122.3869449,0,2013-04-28 04:07:24,"Samsung d2att",4.2.2,1.0
37.7152827,-122.3865585,0,2013-04-28 04:09:24,"Samsung d2att",4.2.2,1.0
37.7137204,-122.3865597,0,2013-04-28 04:14:24,"Samsung d2att",4.2.2,1.0
37.7151195,-122.3848859,0,2013-04-28 04:15:24,"Samsung d2att",4.2.2,1.0
37.7136798,-122.3865097,0,2013-04-28 04:16:25,"Samsung d2att",4.2.2,1.0
37.7142378,-122.3846514,0,2013-04-28 04:18:24,"Samsung d2att",4.2.2,1.0
37.7128521,-122.3854629,0,2013-04-28 04:19:24,"Samsung d2att",4.2.2,1.0
37.7055919,-122.3915139,0,2013-04-28 04:20:24,"Samsung d2att",4.2.2,1.0
37.7126347,-122.3869635,0,2013-04-28 04:21:24,"Samsung d2att",4.2.2,1.0
37.7135339,-122.3863345,0,2013-04-28 04:27:24,"Samsung d2att",4.2.2,1.0
37.7127955,-122.3852729,0,2013-04-28 04:28:24,"Samsung d2att",4.2.2,1.0
37.7143042,-122.3844549,0,2013-04-28 04:29:24,"Samsung d2att",4.2.2,1.0
37.7132642,-122.3848902,0,2013-04-28 04:31:24,"Samsung d2att",4.2.2,1.0
37.7134881,-122.3861282,0,2013-04-28 04:32:24,"Samsung d2att",4.2.2,1.0
37.7146738,-122.3848626,0,2013-04-28 04:41:25,"Samsung d2att",4.2.2,1.0
37.7161921,-122.3855297,0,2013-04-28 05:44:24,"Samsung d2att",4.2.2,1.0
37.7151104,-122.3841686,0,2013-04-28 05:45:23,"Samsung d2att",4.2.2,1.0
37.7165101,-122.3874178,0,2013-04-28 05:47:24,"Samsung d2att",4.2.2,1.0
37.7185631,-122.3888068,0,2013-04-28 05:51:23,"Samsung d2att",4.2.2,1.0
37.7194199,-122.3898215,0,2013-04-28 05:53:23,"Samsung d2att",4.2.2,1.0
37.7202449,-122.3916325,0,2013-04-28 05:55:23,"Samsung d2att",4.2.2,1.0
37.7209825,-122.3930959,0,2013-04-28 05:57:24,"Samsung d2att",4.2.2,1.0
37.721985,-122.3945988,0,2013-04-28 05:59:23,"Samsung d2att",4.2.2,1.0
37.7224025,-122.3958365,0,2013-04-28 06:02:24,"Samsung d2att",4.2.2,1.0
37.7244163,-122.394697,0,2013-04-28 06:07:24,"Samsung d2att",4.2.2,1.0
37.7255647,-122.3944962,0,2013-04-28 06:08:20,"Samsung d2att",4.2.2,1.0
37.7272924,-122.3934154,0,2013-04-28 06:09:24,"Samsung d2att",4.2.2,1.0
37.7304183,-122.3920909,0,2013-04-28 06:10:24,"Samsung d2att",4.2.2,1.0
37.7318824,-122.3912097,0,2013-04-28 06:11:24,"Samsung d2att",4.2.2,1.0
37.7341875,-122.3907293,0,2013-04-28 06:12:21,"Samsung d2att",4.2.2,1.0
37.7373534,-122.3897698,0,2013-04-28 06:13:21,"Samsung d2att",4.2.2,1.0
37.739532,-122.3891374,0,2013-04-28 06:14:18,"Samsung d2att",4.2.2,1.0
37.7424124,-122.3884065,0,2013-04-28 06:15:20,"Samsung d2att",4.2.2,1.0
37.7460693,-122.3871034,0,2013-04-28 06:16:21,"Samsung d2att",4.2.2,1.0
37.7497314,-122.3876974,0,2013-04-28 06:17:21,"Samsung d2att",4.2.2,1.0
37.7521842,-122.3877898,0,2013-04-28 06:18:21,"Samsung d2att",4.2.2,1.0
37.7557768,-122.388106,0,2013-04-28 06:19:21,"Samsung d2att",4.2.2,1.0
37.7607539,-122.3888159,0,2013-04-28 06:20:21,"Samsung d2att",4.2.2,1.0
37.7630801,-122.3888439,0,2013-04-28 06:21:21,"Samsung d2att",4.2.2,1.0
37.7402833,-122.3855773,0,2013-04-28 06:22:21,"Samsung d2att",4.2.2,1.0
37.770581,-122.3894909,0,2013-04-28 06:23:23,"Samsung d2att",4.2.2,1.0
37.7753819,-122.3900341,0,2013-04-28 06:24:21,"Samsung d2att",4.2.2,1.0
37.7758294,-122.3934702,0,2013-04-28 06:25:21,"Samsung d2att",4.2.2,1.0
37.7778679,-122.3923351,0,2013-04-28 06:27:21,"Samsung d2att",4.2.2,1.0
37.7795108,-122.3898652,0,2013-04-28 06:28:21,"Samsung d2att",4.2.2,1.0
37.7822482,-122.3884751,0,2013-04-28 06:29:21,"Samsung d2att",4.2.2,1.0
37.7866982,-122.3885605,0,2013-04-28 06:30:21,"Samsung d2att",4.2.2,1.0
37.7902442,-122.3894326,0,2013-04-28 06:31:21,"Samsung d2att",4.2.2,1.0
37.7914001,-122.3918589,0,2013-04-28 06:32:21,"Samsung d2att",4.2.2,1.0
37.7929053,-122.3969583,0,2013-04-28 06:34:20,"Samsung d2att",4.2.2,1.0
37.7886015,-122.3996343,0,2013-04-28 06:35:17,"Samsung d2att",4.2.2,1.0
37.7892791,-122.4008569,0,2013-04-28 06:36:20,"Samsung d2att",4.2.2,1.0
37.7757633,-122.4165935,0,2013-04-28 06:38:20,"Samsung d2att",4.2.2,1.0
37.7685666,-122.4241637,0,2013-04-28 06:40:21,"Samsung d2att",4.2.2,1.0
37.7786922,-122.4146409,0,2013-04-28 06:41:18,"Samsung d2att",4.2.2,1.0
37.7771514,-122.4127032,0,2013-04-28 06:43:18,"Samsung d2att",4.2.2,1.0
37.7763487,-122.411503,0,2013-04-28 06:46:18,"Samsung d2att",4.2.2,1.0
37.7766336,-122.4099378,0,2013-04-28 06:48:15,"Samsung d2att",4.2.2,1.0
37.7762587,-122.4094103,0,2013-04-28 06:49:18,"Samsung d2att",4.2.2,1.0
37.7764253,-122.4093061,0,2013-04-28 07:14:22,"Samsung d2att",4.2.2,1.0
37.7752804,-122.409678,0,2013-04-28 07:16:16,"Samsung d2att",4.2.2,1.0
37.77454,-122.4106263,0,2013-04-28 07:18:16,"Samsung d2att",4.2.2,1.0
37.7739128,-122.4116319,0,2013-04-28 07:19:16,"Samsung d2att",4.2.2,1.0
